date;model;tone;l;tone without # ;R;G;B;5 clusters
01/01/2000;Carmen Kass;#CE9A86;0.6678104579999999;CE9A86;206;154;134;3
01/01/2000;Gisele Bundchen;#D19985;0.672829132;D19985;209;153;133;3
01/02/2000;Angela Lindvall;#CA9C94;0.688480392;CA9C94;202;156;148;2
01/03/2000;Amber Valletta;#BF9368;0.580926916;BF9368;191;147;104;3
01/04/2000;Carolyn Murphy;#DF9D73;0.664349376;DF9D73;223;157;115;3
01/05/2000;Gisele Bundchen;#CC8F7F;0.6516339870000001;CC8F7F;204;143;127;3
01/06/2000;Gisele Bundchen;#D39C81;0.668627451;D39C81;211;156;129;3
01/07/2000;Cate Blanchett;#D9AE97;0.7220588240000001;D9AE97;217;174;151;2
01/08/2000;Carmen Kass;#CA9683;0.653846154;CA9683;202;150;131;3
01/09/2000;Bridget Hall;#DEAC94;0.726797386;DEAC94;222;172;148;2
01/10/2000;Charlize Theron;#BD7B63;0.567201426;BD7B63;189;123;99;1
01/11/2000;Carmen Kass;#D2A373;0.638779956;D2A373;210;163;115;3
01/11/2000;Maggie Rizer;#D3A87D;0.66;D3A87D;211;168;125;3
01/11/2000;Angela Lindvall;#DBAF8B;0.7033868090000001;DBAF8B;219;175;139;2
01/11/2000;Frankie Rayder;#DCB08D;0.7107266440000001;DCB08D;220;176;141;2
01/12/2000;Nicole Kidman;#DACFC7;0.820588235;DACFC7;218;207;199;0
01/01/2001;Marion Jones;#C77955;0.558371041;C77955;199;121;85;1
01/02/2001;Karolina Kurkova;#C79B83;0.647511312;C79B83;199;155;131;3
01/03/2001;Penelope Cruz;#DF8E69;0.645882353;DF8E69;223;142;105;3
01/04/2001;Renee Zellweger;#DAAD91;0.715196078;DAAD91;218;173;145;2
01/05/2001;Carmen Kass;#CB8B67;0.602058824;CB8B67;203;139;103;3
01/06/2001;Gisele Bundchen;#CF9B8B;0.6797888390000001;CF9B8B;207;155;139;3
01/07/2001;Catherine Zeta-Jones;#D3AEA0;0.72872549;D3AEA0;211;174;160;2
01/08/2001;Amber Valletta;#C9A594;0.684313725;C9A594;201;165;148;2
01/09/2001;Linda Evangelista;#C89980;0.643837535;C89980;200;153;128;3
01/10/2001;Carolyn Murphy;#BF8873;0.601960784;BF8873;191;136;115;3
01/11/2001;Britney Spears;#DBAA8E;0.70802139;DBAA8E;219;170;142;2
01/12/2001;Gisele Bundchen;#D9AA85;0.6885154059999999;D9AA85;217;170;133;2
01/01/2002;Julianne Moore;#CF9C87;0.6736694679999999;CF9C87;207;156;135;3
01/02/2002;Sarah Jessica Parker;#C59876;0.62120098;C59876;197;152;118;3
01/03/2002;Gwyneth Paltrow;#C58A66;0.5872549020000001;C58A66;197;138;102;3
01/04/2002;Angelina Jolie;#D8B3A0;0.73977591;D8B3A0;216;179;160;2
01/05/2002;Natalie Portman;#C99C86;0.660249554;C99C86;201;156;134;3
01/06/2002;Ashley Judd;#AD705B;0.518552036;AD705B;173;112;91;1
01/07/2002;Amber Valletta;#CCAAA2;0.7193277309999999;CCAAA2;204;170;162;2
01/08/2002;Jennifer Aniston;#CD9476;0.634436275;CD9476;205;148;118;3
01/09/2002;Kate Hudson;#D8B5A1;0.7414215690000001;D8B5A1;216;181;161;2
01/10/2002;Christy Turlington;#A57F6A;0.5339366520000001;A57F6A;165;127;106;1
