,model,birth_place,l,tone,n_covers,birth_country,birth_country2
70,Kim Kardashian,"Los Angeles, California, U.S.",0.7395424840000001,#E1B297,1,U.S.,U.S.
71,Kirsten Dunst,"Point Pleasant, New Jersey, U.S.",0.684375973,#D6AE86,2,U.S.,U.S.
72,Kristen Stewart,"Los Angeles, California, U.S.",0.7316526609999999,#D6B79E,1,U.S.,U.S.
73,Lady Gaga,"New York City, U.S.",0.817217931,#DFCCC0,3,U.S.,U.S.
74,Lena Dunham,"New York City, U.S.",0.77739331,#E0C1AC,1,U.S.,U.S.
75,Lily Donaldson,"Hammersmith, London, England",0.593333333,#BD8F70,1,England,England
76,Linda Evangelista,"St. Catharines, Ontario, Canada",0.649859944,#CA9A81,2,Canada,Canada
77,Lisa-Marie Presley,"Memphis, Tennessee, U.S.",0.724420677,#D2B59F,1,U.S.,U.S.
78,Liya Kebede,"Addis Ababa, Ethiopia",0.504396203,#AE7B52,2,Ethiopia,Ethiopia
79,Lupita Nyongo,"Mexico City, Mexico",0.326855742,#6B413B,4,Mexico,Mexico
80,Madonna,"Bay City, Michigan, U.S.",0.675980392,#CBA78D,1,U.S.,U.S.
81,Maggie Rizer,"New York City, U.S.[1]",0.66,#D3A87D,1,U.S.[1],U.S.
82,Margot Robbie,"Dalby, Queensland, Australia",0.635947712,#D29F72,1,Australia,Australia
83,Marion Cotillard,"Paris, France",0.606078431,#BF9475,3,France,France
84,Meryl Streep,"Summit, New Jersey, U.S.",0.7219607840000001,#DCB393,2,U.S.,U.S.
85,Natalia Vodianova,"Gorky, Russian SFSR, Soviet Union",0.732127295,#E0B694,4,Soviet Union,Soviet Union
86,Natalie Portman,Jerusalem,0.691140784,#D2A88D,4,Jerusalem,Jerusalem
87,Nicole Kidman,"Honolulu, Hawaii, U.S.",0.702280809,#CEAF96,7,U.S.,U.S.
88,Penelope Cruz,"Alcobendas, Madrid, Spain",0.617090487,#C89371,5,Spain,Spain
89,Priscilla Presley,"Brooklyn, New York, U.S.",0.772096531,#D4C0B5,1,U.S.,U.S.
90,Rachel McAdams,"London, Ontario, Canada",0.754901961,#D6BAAA,1,Canada,Canada
91,Rachel Weisz,"London, England",0.6736694679999999,#C8A38F,1,England,England
92,Reese Witherspoon,"New Orleans, Louisiana, U.S.",0.6313812639999999,#C3977E,5,U.S.,U.S.
93,Renee Zellweger,"Katy, Texas, U.S.",0.686428624,#CBA991,4,U.S.,U.S.
94,Rihanna,"Saint Michael, Barbados",0.617069259,#C78E72,5,Barbados,Barbados
